iter	Passed	Remaining
658	820	424
659	821	423
660	822	421
661	823	420
662	824	418
663	825	417
664	826	416
665	827	414
666	828	413
667	829	412
668	829	410
669	830	409
670	831	407
671	832	406
672	833	405
673	834	403
674	835	402
675	836	400
676	836	399
677	837	397
678	839	396
679	840	395
680	841	394
681	841	392
682	843	391
683	843	389
684	844	388
685	845	387
686	846	385
687	847	384
688	848	382
689	849	381
690	850	380
691	851	378
692	852	377
693	853	376
694	854	375
695	855	373
696	856	372
697	857	370
698	858	369
699	859	368
700	859	366
701	860	365
702	861	364
703	862	362
704	863	361
705	864	360
706	865	358
707	866	357
708	867	356
709	868	354
710	869	353
711	870	352
712	871	350
713	872	349
714	873	348
715	874	346
716	874	345
717	875	343
718	876	342
719	877	341
720	878	340
721	879	338
722	880	337
723	881	336
724	882	334
725	883	333
726	883	331
727	884	330
728	885	329
729	886	327
730	887	326
731	888	325
732	889	323
733	890	322
734	891	321
735	892	320
736	893	318
737	894	317
738	895	316
739	895	314
740	896	313
741	897	312
742	898	310
743	899	309
744	900	308
745	900	306
746	901	305
747	902	304
748	903	302
749	904	301
750	905	300
751	906	299
752	907	297
753	908	296
754	909	295
755	910	293
756	911	292
757	912	291
758	912	289
759	913	288
760	914	287
761	915	285
762	916	284
763	917	283
764	918	282
765	919	280
766	920	279
767	921	278
768	922	277
769	923	275
770	924	274
771	924	273
772	925	271
773	926	270
774	927	269
775	928	267
776	929	266
777	930	265
778	931	264
779	932	263
780	933	261
781	934	260
782	935	259
783	936	257
784	936	256
785	937	255
786	938	254
787	939	252
788	940	251
789	941	250
790	942	248
791	943	247
792	944	246
793	945	245
794	946	243
795	947	242
796	947	241
797	948	240
798	949	238
799	950	237
800	951	236
801	951	235
802	952	233
803	953	232
804	954	231
805	955	230
806	956	228
807	957	227
808	958	226
809	959	225
810	960	223
811	961	222
812	962	221
813	963	220
814	964	218
815	965	217
816	966	216
817	966	215
818	967	213
819	968	212
820	970	211
821	971	210
822	972	209
823	973	207
824	973	206
825	974	205
826	975	204
827	976	202
828	977	201
829	978	200
830	979	199
831	980	197
832	981	196
833	982	195
834	983	194
835	984	193
836	985	191
837	986	190
838	987	189
839	987	188
840	988	186
841	989	185
842	990	184
843	991	183
844	992	182
845	993	180
846	994	179
847	995	178
848	996	177
849	997	176
850	998	174
851	999	173
852	1000	172
853	1000	171
854	1001	169
855	1002	168
856	1003	167
857	1004	166
858	1005	165
859	1006	163
860	1007	162
861	1008	161
862	1009	160
863	1010	159
864	1011	157
865	1012	156
866	1013	155
867	1013	154
868	1014	152
869	1015	151
870	1016	150
871	1017	149
872	1018	148
873	1019	146
874	1019	145
875	1020	144
876	1021	143
877	1022	142
878	1023	140
879	1024	139
880	1025	138
881	1026	137
882	1027	136
883	1027	134
884	1028	133
885	1029	132
886	1030	131
887	1031	130
888	1032	128
889	1033	127
890	1034	126
891	1035	125
892	1036	124
893	1037	122
894	1038	121
895	1038	120
896	1039	119
897	1040	118
898	1041	117
899	1042	115
900	1043	114
901	1044	113
902	1045	112
903	1046	111
904	1047	109
905	1048	108
906	1049	107
907	1050	106
908	1051	105
909	1052	104
910	1053	102
911	1054	101
912	1055	100
913	1055	99
914	1056	98
915	1057	97
916	1059	95
917	1060	94
918	1061	93
919	1062	92
920	1062	91
921	1063	89
922	1064	88
923	1065	87
924	1066	86
925	1067	85
926	1067	84
927	1068	82
928	1069	81
929	1070	80
930	1071	79
931	1073	78
932	1074	77
933	1074	75
934	1075	74
935	1076	73
936	1077	72
937	1078	71
938	1079	70
939	1079	68
940	1080	67
941	1081	66
942	1082	65
943	1083	64
944	1084	63
945	1085	61
946	1086	60
947	1087	59
948	1088	58
949	1088	57
950	1089	56
951	1090	54
952	1091	53
953	1092	52
954	1093	51
955	1093	50
956	1094	49
957	1095	48
958	1097	46
959	1097	45
960	1098	44
961	1099	43
962	1100	42
963	1101	41
964	1102	39
965	1103	38
966	1104	37
967	1104	36
968	1105	35
969	1106	34
970	1107	33
971	1108	31
972	1109	30
973	1110	29
974	1111	28
975	1112	27
976	1113	26
977	1113	25
978	1114	23
979	1115	22
980	1116	21
981	1117	20
982	1118	19
983	1119	18
984	1119	17
985	1120	15
986	1121	14
987	1122	13
988	1123	12
989	1124	11
990	1125	10
991	1126	9
992	1127	7
993	1128	6
994	1128	5
995	1129	4
996	1130	3
997	1131	2
998	1132	1
999	1133	0
